Incident Id,Date of Arrest,Time of Arrest,Primary Charge,Arrestee's Age,Arrestee's Race,Arrestee's Gender,Type of Arrest,Drugs or Alcohol Present,Weapon Present
24389,2010-03-16,12:10,FAIL TO APPEAR,21.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24393,2010-03-16,19:30,OTHER,21.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24400,2010-03-17,2:02,DRUGS,24.0,B,M,SUMMONED/CITED,Y,UNARMED
24402,2010-03-18,21:16,ASSAULT,44.0,W,M,ON VIEW,U,UNARMED
24413,2010-03-20,2:54,ALCOHOL,18.0,W,M,SUMMONED/CITED,Y,UNARMED
24425,2010-03-22,10:35,TRESPASSING,45.0,B,M,SUMMONED/CITED,N,UNARMED
24429,2010-03-23,13:56,ASSAULT,29.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
24430,2010-03-23,18:49,OTHER,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
24435,2010-03-25,16:20,FAIL TO APPEAR,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24443,2010-03-26,16:28,FAIL TO APPEAR,21.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24444,2010-03-27,2:59,DWI,27.0,A,F,ON VIEW,Y,UNARMED
24448,2010-03-28,0:50,ALCOHOL,28.0,W,M,ON VIEW,Y,UNARMED
24452,2010-03-28,13:50,ASSAULT,44.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
24460,2010-03-30,2:47,DWI,21.0,W,F,ON VIEW,Y,UNARMED
24471,2010-03-31,2:45,DRUGS,19.0,W,M,ON VIEW,Y,UNARMED
24476,2010-04-01,16:27,OTHER,50.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24480,2010-04-02,14:52,OTHER,36.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24481,2010-04-02,20:38,OTHER,32.0,B,M,ON VIEW,U,UNARMED
24486,2010-04-02,20:42,OTHER,20.0,W,F,ON VIEW,N,UNARMED
24493,2010-04-02,22:28,ALCOHOL,54.0,W,M,SUMMONED/CITED,Y,UNARMED
24489,2010-04-03,0:15,LARCENY,40.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24490,2010-04-03,2:54,OTHER,25.0,W,M,ON VIEW,Y,UNARMED
24498,2010-04-04,3:17,DWI,20.0,W,F,ON VIEW,Y,UNARMED
24502,2010-04-04,20:59,DRUGS,22.0,B,F,ON VIEW,Y,UNARMED
24509,2010-04-07,1:25,DWI,24.0,W,M,ON VIEW,Y,UNARMED
24512,2010-04-08,2:05,DWI,33.0,W,F,ON VIEW,Y,UNARMED
24515,2010-04-09,0:55,ALCOHOL,21.0,W,M,ON VIEW,Y,UNARMED
24517,2010-04-09,19:18,DRUGS,31.0,W,M,ON VIEW,U,UNARMED
24522,2010-04-11,4:55,OTHER,19.0,W,M,ON VIEW,U,UNARMED
24526,2010-04-11,15:00,OTHER,40.0,B,M,ON VIEW,N,HANDGUN
24528,2010-04-13,21:48,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24531,2010-04-14,2:35,DWI,34.0,W,M,ON VIEW,Y,UNARMED
24535,2010-04-14,19:10,OTHER,31.0,B,M,ON VIEW,N,UNARMED
24541,2010-04-16,1:25,OTHER,27.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24552,2010-04-17,3:00,DRUGS,19.0,W,F,SUMMONED/CITED,Y,UNARMED
24559,2010-04-17,12:22,OTHER,39.0,B,M,ON VIEW,Y,UNARMED
24561,2010-04-19,2:22,DWI,25.0,W,M,ON VIEW,Y,UNARMED
24577,2010-04-21,17:42,OTHER,24.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24579,2010-04-22,10:04,ASSAULT,18.0,B,M,SUMMONED/CITED,N,UNARMED
24581,2010-04-22,19:45,LARCENY,44.0,B,M,ON VIEW,Y,UNARMED
24586,2010-04-24,9:02,OTHER,34.0,W,M,SUMMONED/CITED,N,HANDGUN
24594,2010-04-25,2:31,DWI,32.0,W,M,ON VIEW,Y,UNARMED
24598,2010-04-26,17:58,FAIL TO APPEAR,22.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24600,2010-04-27,11:34,ASSAULT,21.0,B,M,ON VIEW,U,UNARMED
24603,2010-04-28,3:41,DWI,22.0,B,M,ON VIEW,Y,UNARMED
24614,2010-04-29,12:40,OTHER,27.0,B,F,SUMMONED/CITED,N,UNARMED
24617,2010-04-30,3:26,OTHER,18.0,W,F,SUMMONED/CITED,N,UNARMED
24621,2010-05-01,0:32,OTHER,38.0,W,F,ON VIEW,Y,UNARMED
24628,2010-05-01,3:17,DWI,46.0,W,M,ON VIEW,Y,UNARMED
24624,2010-05-01,3:26,OTHER,20.0,B,M,ON VIEW,Y,UNARMED
24647,2010-05-04,12:58,OTHER,48.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24651,2010-05-06,5:41,OTHER,19.0,W,F,SUMMONED/CITED,Y,UNARMED
24667,2010-05-08,1:49,TRESPASSING,55.0,B,M,SUMMONED/CITED,Y,UNARMED
24671,2010-05-08,16:12,FAIL TO APPEAR,59.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
24673,2010-05-09,1:08,FAIL TO APPEAR,21.0,H,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24680,2010-05-12,0:49,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24681,2010-05-12,0:49,OTHER,20.0,B,M,SUMMONED/CITED,Y,UNARMED
24694,2010-05-15,4:46,OTHER,59.0,B,M,ON VIEW,U,UNARMED
24708,2010-05-16,5:57,DRUGS,19.0,W,M,ON VIEW,Y,UNARMED
24709,2010-05-16,5:57,ALCOHOL,19.0,W,F,ON VIEW,Y,UNARMED
24713,2010-05-18,8:40,FAIL TO APPEAR,44.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24715,2010-05-18,17:22,DRUGS,18.0,W,M,ON VIEW,Y,UNARMED
24729,2010-05-21,1:10,DWI,46.0,W,M,SUMMONED/CITED,Y,UNARMED
24730,2010-05-21,7:00,ASSAULT,46.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
24734,2010-05-21,18:56,FAIL TO APPEAR,40.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24751,2010-05-22,16:15,DRUGS,23.0,W,F,ON VIEW,U,UNARMED
24745,2010-05-22,21:00,ALCOHOL,27.0,W,M,SUMMONED/CITED,N,UNARMED
24748,2010-05-22,22:07,ALCOHOL,27.0,W,M,SUMMONED/CITED,N,UNARMED
24754,2010-05-25,1:16,OTHER,24.0,B,M,ON VIEW,Y,UNARMED
24764,2010-05-25,12:39,OTHER,18.0,B,M,ON VIEW,N,UNARMED
24770,2010-05-26,7:18,OTHER,44.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24787,2010-05-29,3:23,DWI,31.0,B,M,ON VIEW,Y,UNARMED
24795,2010-05-31,2:12,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24799,2010-05-31,2:12,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24808,2010-06-02,22:08,TRESPASSING,45.0,W,M,SUMMONED/CITED,N,UNARMED
24818,2010-06-05,7:17,OTHER,25.0,B,F,SUMMONED/CITED,N,UNARMED
24830,2010-06-07,11:00,ASSAULT,42.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24829,2010-06-07,13:45,TRESPASSING,40.0,B,M,ON VIEW,U,UNARMED
24839,2010-06-07,21:43,OTHER,18.0,W,M,ON VIEW,N,UNARMED
24836,2010-06-08,11:02,OTHER,21.0,B,M,ON VIEW,U,HANDGUN
24838,2010-06-08,11:02,OTHER,20.0,B,F,ON VIEW,N,HANDGUN
24834,2010-06-08,18:38,DWI,50.0,B,M,ON VIEW,Y,UNARMED
24849,2010-06-10,11:15,ALCOHOL,18.0,W,M,SUMMONED/CITED,U,UNARMED
24858,2010-06-10,22:13,ALCOHOL,22.0,A,M,ON VIEW,Y,UNARMED
24864,2010-06-11,18:59,FAIL TO APPEAR,21.0,B,M,ON VIEW,N,UNARMED
24863,2010-06-11,19:31,ALCOHOL,40.0,B,M,ON VIEW,Y,UNARMED
24871,2010-06-12,1:08,ALCOHOL,18.0,W,F,SUMMONED/CITED,Y,UNARMED
24872,2010-06-12,1:08,ALCOHOL,19.0,W,M,SUMMONED/CITED,Y,UNARMED
24883,2010-06-12,1:20,OTHER,22.0,W,M,SUMMONED/CITED,Y,UNARMED
24870,2010-06-12,9:17,TRESPASSING,45.0,W,M,SUMMONED/CITED,Y,UNARMED
24892,2010-06-16,21:40,OTHER,27.0,B,M,ON VIEW,U,UNARMED
24895,2010-06-17,4:24,OTHER,40.0,B,M,ON VIEW,Y,UNARMED
24905,2010-06-18,17:39,OTHER,32.0,B,M,ON VIEW,U,UNARMED
24916,2010-06-22,21:58,FAIL TO APPEAR,22.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24924,2010-06-23,21:42,TRESPASSING,49.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24925,2010-06-24,9:12,FAIL TO APPEAR,19.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
24928,2010-06-25,0:24,OTHER,46.0,W,M,ON VIEW,Y,UNARMED
24937,2010-06-27,2:33,OTHER,20.0,W,F,SUMMONED/CITED,Y,UNARMED
24944,2010-06-27,4:06,OTHER,18.0,W,M,SUMMONED/CITED,Y,UNARMED
24945,2010-06-27,4:06,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
24953,2010-06-29,19:53,OTHER,49.0,B,M,ON VIEW,N,UNARMED
24956,2010-07-01,0:39,FAIL TO APPEAR,20.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
24967,2010-07-01,23:10,ALCOHOL,21.0,B,M,SUMMONED/CITED,Y,UNARMED
25006,2010-07-07,2:07,LARCENY,19.0,W,M,ON VIEW,Y,UNARMED
25002,2010-07-07,2:43,DRUGS,19.0,W,F,SUMMONED/CITED,Y,UNARMED
25008,2010-07-07,19:44,OTHER,50.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
25012,2010-07-10,0:41,OTHER,21.0,B,M,ON VIEW,N,UNARMED
25028,2010-07-13,8:22,FAIL TO APPEAR,30.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25034,2010-07-14,8:00,OTHER,21.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,SHOTGUN
25038,2010-07-15,2:15,DWI,25.0,W,M,ON VIEW,Y,UNARMED
25050,2010-07-15,22:23,DRUGS,21.0,W,M,SUMMONED/CITED,Y,UNARMED
25049,2010-07-16,1:31,DRUGS,19.0,W,M,ON VIEW,Y,UNARMED
25053,2010-07-16,11:05,FAIL TO APPEAR,40.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25060,2010-07-16,21:19,ALCOHOL,60.0,W,M,SUMMONED/CITED,Y,UNARMED
25056,2010-07-16,22:07,FAIL TO APPEAR,24.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25058,2010-07-17,0:11,OTHER,24.0,W,M,ON VIEW,Y,UNARMED
25057,2010-07-17,2:07,ALCOHOL,57.0,W,M,SUMMONED/CITED,Y,UNARMED
25066,2010-07-19,22:30,DRUGS,32.0,W,M,SUMMONED/CITED,Y,UNARMED
25068,2010-07-19,23:04,OTHER,29.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25072,2010-07-20,21:53,DWI,56.0,B,M,ON VIEW,Y,UNARMED
25073,2010-07-21,4:00,OTHER,44.0,B,M,SUMMONED/CITED,N,UNARMED
25074,2010-07-21,4:06,OTHER,50.0,W,M,SUMMONED/CITED,N,UNARMED
25080,2010-07-21,18:54,FAIL TO APPEAR,42.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25079,2010-07-21,20:40,ALCOHOL,28.0,W,F,SUMMONED/CITED,N,UNARMED
25087,2010-07-23,18:58,FAIL TO APPEAR,40.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25089,2010-07-24,0:28,OTHER,18.0,B,M,ON VIEW,Y,UNARMED
25166,2010-07-24,1:48,ASSAULT,25.0,W,M,ON VIEW,Y,UNARMED
25109,2010-07-25,0:54,ALCOHOL,19.0,W,M,SUMMONED/CITED,Y,UNARMED
25098,2010-07-25,2:06,DWI,31.0,H,M,ON VIEW,Y,UNARMED
25124,2010-07-28,23:15,OTHER,19.0,B,M,SUMMONED/CITED,Y,UNARMED
25130,2010-07-30,0:41,OTHER,22.0,W,M,SUMMONED/CITED,Y,UNARMED
25132,2010-07-30,1:02,DWI,23.0,B,M,ON VIEW,Y,UNARMED
25161,2010-07-30,21:00,ALCOHOL,38.0,W,M,SUMMONED/CITED,N,UNARMED
25147,2010-07-31,4:28,LARCENY,26.0,W,M,ON VIEW,Y,UNARMED
25150,2010-07-31,12:01,ASSAULT,29.0,W,M,ON VIEW,U,UNARMED
25171,2010-08-04,5:48,OTHER,22.0,W,M,ON VIEW,Y,UNARMED
25180,2010-08-05,13:08,FAIL TO APPEAR,56.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25190,2010-08-06,10:50,ALCOHOL,25.0,W,M,SUMMONED/CITED,Y,UNARMED
25184,2010-08-06,20:40,ALCOHOL,31.0,W,M,SUMMONED/CITED,Y,UNARMED
25187,2010-08-06,21:42,ALCOHOL,22.0,W,M,SUMMONED/CITED,N,UNARMED
25196,2010-08-07,5:20,DWI,24.0,W,M,ON VIEW,Y,UNARMED
25203,2010-08-08,3:27,OTHER,30.0,B,M,ON VIEW,Y,HANDGUN
25204,2010-08-08,23:31,OTHER,38.0,B,F,ON VIEW,N,UNARMED
25210,2010-08-11,0:09,ALCOHOL,20.0,W,F,SUMMONED/CITED,Y,UNARMED
25212,2010-08-11,2:08,OTHER,28.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
25229,2010-08-13,2:34,DWI,23.0,A,M,ON VIEW,Y,UNARMED
25227,2010-08-13,2:46,LARCENY,24.0,W,M,SUMMONED/CITED,Y,UNARMED
25237,2010-08-15,3:42,DRUGS,18.0,B,M,SUMMONED/CITED,U,UNARMED
25249,2010-08-16,16:00,ASSAULT,47.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25264,2010-08-17,17:00,OTHER,32.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
25255,2010-08-18,7:37,OTHER,25.0,W,F,SUMMONED/CITED,N,UNARMED
25261,2010-08-18,19:34,FAIL TO APPEAR,27.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25262,2010-08-18,23:05,OTHER,36.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25273,2010-08-20,2:58,DWI,20.0,W,F,ON VIEW,Y,UNARMED
25277,2010-08-20,23:33,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
25274,2010-08-21,0:00,DWI,18.0,W,M,ON VIEW,Y,UNARMED
25282,2010-08-21,0:25,OTHER,19.0,W,M,SUMMONED/CITED,Y,UNARMED
25279,2010-08-21,13:44,OTHER,24.0,W,M,ON VIEW,N,UNARMED
25285,2010-08-21,19:56,OTHER,59.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
25286,2010-08-21,22:08,ALCOHOL,20.0,W,F,SUMMONED/CITED,Y,UNARMED
25289,2010-08-22,2:19,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
25311,2010-08-25,20:51,ALCOHOL,42.0,B,F,SUMMONED/CITED,Y,UNARMED
25333,2010-08-26,19:15,OTHER,19.0,A,M,ON VIEW,N,UNARMED
25320,2010-08-26,23:16,OTHER,19.0,W,M,SUMMONED/CITED,Y,UNARMED
25324,2010-08-27,1:11,OTHER,19.0,W,F,SUMMONED/CITED,Y,UNARMED
25338,2010-08-27,12:30,ASSAULT,24.0,W,F,SUMMONED/CITED,N,UNARMED
25340,2010-08-27,19:19,FAIL TO APPEAR,49.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
25346,2010-08-27,22:15,ALCOHOL,21.0,W,M,SUMMONED/CITED,Y,UNARMED
25344,2010-08-27,22:30,OTHER,19.0,W,M,SUMMONED/CITED,Y,UNARMED
25345,2010-08-28,0:18,ALCOHOL,22.0,W,M,SUMMONED/CITED,Y,UNARMED
25370,2010-08-28,10:20,ALCOHOL,38.0,B,M,SUMMONED/CITED,Y,UNARMED
25376,2010-08-28,11:45,ALCOHOL,26.0,W,M,SUMMONED/CITED,Y,UNARMED
25392,2010-08-28,22:10,ALCOHOL,21.0,W,F,SUMMONED/CITED,Y,UNARMED
25398,2010-08-29,1:05,FAIL TO APPEAR,57.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
25399,2010-08-29,1:17,OTHER,18.0,W,M,SUMMONED/CITED,Y,UNARMED
25394,2010-08-29,1:20,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
25400,2010-08-29,10:12,FAIL TO APPEAR,39.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25413,2010-08-31,17:40,OTHER,20.0,A,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25416,2010-09-01,1:10,FAIL TO APPEAR,42.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25426,2010-09-03,5:35,OTHER,26.0,W,M,ON VIEW,Y,HANDGUN
25432,2010-09-04,1:18,OTHER,18.0,W,M,ON VIEW,Y,UNARMED
25438,2010-09-05,13:55,OTHER,30.0,W,M,ON VIEW,N,UNARMED
25440,2010-09-06,9:03,OTHER,41.0,B,M,SUMMONED/CITED,N,UNARMED
25445,2010-09-07,0:22,FAIL TO APPEAR,22.0,W,M,ON VIEW,N,UNARMED
25453,2010-09-08,0:03,FAIL TO APPEAR,27.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25456,2010-09-08,14:17,ALCOHOL,58.0,W,M,SUMMONED/CITED,Y,UNARMED
25472,2010-09-10,23:47,ALCOHOL,58.0,W,M,SUMMONED/CITED,Y,UNARMED
25473,2010-09-10,23:47,ALCOHOL,44.0,B,M,SUMMONED/CITED,Y,UNARMED
25467,2010-09-11,0:38,ASSAULT,45.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25468,2010-09-11,3:11,OTHER,18.0,W,F,ON VIEW,Y,UNARMED
25489,2010-09-14,17:30,OTHER,19.0,W,F,SUMMONED/CITED,N,UNARMED
25494,2010-09-15,14:30,ASSAULT,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
25530,2010-09-18,2:04,OTHER,25.0,W,M,ON VIEW,Y,UNARMED
25506,2010-09-18,3:30,OTHER,19.0,W,F,SUMMONED/CITED,Y,UNARMED
25509,2010-09-18,13:01,ALCOHOL,21.0,W,F,SUMMONED/CITED,Y,UNARMED
25525,2010-09-22,12:30,OTHER,25.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25528,2010-09-22,18:04,ALCOHOL,58.0,W,M,SUMMONED/CITED,Y,UNARMED
25526,2010-09-22,18:08,OTHER,48.0,B,M,SUMMONED/CITED,N,UNARMED
25535,2010-09-24,1:10,DWI,19.0,W,F,ON VIEW,Y,UNARMED
25553,2010-09-28,15:58,ALCOHOL,47.0,W,M,SUMMONED/CITED,Y,UNARMED
25556,2010-09-29,0:08,DRUGS,46.0,A,F,ON VIEW,Y,UNARMED
25561,2010-10-01,13:33,ASSAULT,39.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25598,2010-10-01,23:31,OTHER,19.0,W,M,SUMMONED/CITED,Y,UNARMED
25581,2010-10-02,11:45,ALCOHOL,26.0,W,F,SUMMONED/CITED,Y,UNARMED
25594,2010-10-02,12:30,ALCOHOL,56.0,W,F,SUMMONED/CITED,Y,UNARMED
25576,2010-10-02,12:34,ALCOHOL,55.0,W,M,SUMMONED/CITED,Y,UNARMED
25569,2010-10-02,13:27,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
25597,2010-10-02,16:11,OTHER,18.0,W,M,ON VIEW,Y,UNARMED
25608,2010-10-03,1:23,OTHER,18.0,B,M,ON VIEW,Y,UNARMED
25616,2010-10-05,5:32,OTHER,49.0,B,M,ON VIEW,Y,UNARMED
25617,2010-10-05,23:36,ALCOHOL,48.0,B,M,ON VIEW,Y,UNARMED
25629,2010-10-09,13:15,ALCOHOL,58.0,B,M,SUMMONED/CITED,Y,UNARMED
25660,2010-10-09,14:20,ALCOHOL,53.0,W,M,SUMMONED/CITED,Y,UNARMED
25642,2010-10-09,14:30,ALCOHOL,25.0,W,F,SUMMONED/CITED,Y,UNARMED
25673,2010-10-11,16:21,ALCOHOL,55.0,B,M,SUMMONED/CITED,Y,UNARMED
25684,2010-10-14,0:15,ALCOHOL,45.0,B,M,ON VIEW,Y,UNARMED
25704,2010-10-16,0:15,ALCOHOL,21.0,W,M,SUMMONED/CITED,Y,UNARMED
25692,2010-10-16,22:06,DRUGS,20.0,B,M,SUMMONED/CITED,Y,UNARMED
25697,2010-10-18,15:09,OTHER,37.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25699,2010-10-19,11:48,OTHER,45.0,B,F,ON VIEW,N,UNARMED
25719,2010-10-22,12:30,OTHER,42.0,W,M,ON VIEW,Y,UNARMED
25717,2010-10-24,16:17,FAIL TO APPEAR,20.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25722,2010-10-25,20:42,ALCOHOL,55.0,B,M,SUMMONED/CITED,Y,UNARMED
25726,2010-10-27,4:45,DWI,22.0,W,M,ON VIEW,Y,UNARMED
25730,2010-10-27,18:02,FAIL TO APPEAR,19.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
25744,2010-10-29,21:57,FAIL TO APPEAR,49.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
25749,2010-10-30,2:53,ALCOHOL,20.0,W,M,SUMMONED/CITED,Y,UNARMED
25754,2010-10-30,14:35,ALCOHOL,26.0,W,M,SUMMONED/CITED,Y,UNARMED
25766,2010-10-30,15:15,ALCOHOL,30.0,W,M,SUMMONED/CITED,Y,UNARMED
25788,2010-11-04,2:21,TRESPASSING,45.0,B,M,ON VIEW,Y,UNARMED
25789,2010-11-04,22:47,OTHER,20.0,W,F,SUMMONED/CITED,N,UNARMED
25804,2010-11-06,12:06,FAIL TO APPEAR,20.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
